id,city,district,local_id,name,addr,TYPE,SUMMARY,TEL,PAYEX,SERVICETIME,TW97X,TW97Y,TOTALCAR,TOTALMOTOR,TOTALBIKE
10056,新北市,板橋區,NPBQ,遠東百貨停車場,板橋區中山路一段152號,2,立體式建築附設停車空間,,小型車計時每小時60元;,0~24時,296882,2767068,453,0,
30034,新北市,中和區,NPZH,南華停車場,中和區中和路281號邊,2,平面式臨時路外停車場,,小型車計時每小時20元;小型車月租每月3500元;,6~24時,301086,2765825,42,0,
30018,新北市,中和區,NPZH,板橋監理站停車場,中和區中山路三段116號,2,平面式多目標附建停車場,,機車計次每次10元;,8~17時,298037,2766531.5,0,200,
10008,新北市,板橋區,NPBQ,府後立體停車場,板橋區府中路32-1、32-2,2,立體式多目標附建停車場,2969-7281,小型車計時每小時20元;,0~24時,296277,2767002.5,150,0,
20023,新北市,三重區,NPSC,集美國小地下停車場,三重區集美街10號,2,立體式多目標附建停車場,,小型車月租每月3900元;小型車月租每月3000元;小型車月租每月1500元;,0~24時,299256.5,2772076.5,24,0,
230007,新北市,八里區,NPBL,十三行博物館第二停車場,八里區博物館路200號,2,平面式臨時路外停車場,,小型車計時每小時20元;小型車計時免費;,0~24時,290903.5,2783084,105,21,
30019,新北市,中和區,NPZH,中和國中停車場,中和區興南路二段3巷17號,2,平面式多目標附建停車場,,小型車月租每月1500元;,16~7時,301340,2764339,17,0,
110010,新北市,汐止區,NPXI,崇德國民小學停車場,汐止區茄苳路158號,2,立體式多目標附建停車場,,小型車月租每月500元;小型車月租每月1000元;,17~7時,317500,2773636.5,28,0,
60040,新北市,新店區,NPXD,崇光女子高中地下停車場,新店區三民路19號B2,2,立體式建築附設停車空間,,小型車月租每月3000元;,0~24時,304461.5,2762748.5,60,0,
80007,新北市,鶯歌區,NPYG,陶博館館後停車場,鶯歌區文化路200號,2,平面式多目標附建停車場,,小型車計次每次60元;,0~24時,285544.5,2760249,50,0,
120005,新北市,瑞芳區,NPRF,水湳洞停車場,瑞芳區水湳洞段4、4-1、27-3、27-9地號(台2線78.5K),2,平面式臨時路外停車場,,;,例假日8~21時,337177,2779563.5,300,0,
20051,新北市,三重區,NPSC,台灣省漁會三重示範魚市場停車場,三重區力行路一段6號,2,平面式多目標附建停車場,,小型車計時每小時30元;,0~24時,299273,2773234.5,110,0,
10028,新北市,板橋區,NPBQ,新北市立大觀國民中學停車場,板橋區僑中一街1號地下室,2,立體式多目標附建停車場,,小型車計時每小時20元;小型車月租每月4000元;,0~24時,295269,2767084,30,0,
110008,新北市,汐止區,NPXI,行政中心公有停車場,汐止區新台五路一段268號B1、B2,2,立體式建築附設停車空間,2641-1111,;,0~24時,316498,2773007.5,189,0,
20044,新北市,三重區,NPSC,成功室內停車場,三重區集美街61-1號,2,立體式建築附設停車空間,,機車免費免費;小型車月租每月3500元;,0~24時,299291.5,2771845.5,49,0,
170010,新北市,林口區,NPLK,麗林國小地下室停車場,林口區公園路46號(編號1至15、24至52供社區民眾租用，編號16至23公務用),2,立體式多目標附建停車場,,機車免費免費;小型車月租每月1500元;,18:30~07:00,287120,2773423.5,44,0,
60014,新北市,新店區,NPXD,柴埕活動中心附設停車場,新店區安民街79號B1、B2,2,立體式多目標附建停車場,2212-0662,機車免費免費;小型車月租每月3000元;,0~24時,302140.5,2762270,38,0,
60015,新北市,新店區,NPXD,新北市立文山國民中學停車場,新店區文中路38號,2,立體式多目標附建停車場,2913-4300,小型車月租每月2000元;,18~7時,304434,2761084,40,0,
30048,新北市,中和區,NPZH,永鐿中和連城停車場,中和區連城路114號旁,2,平面式臨時路外停車場,,小型車計時每小時50元;小型車月租每月5000元;機車月租每月800元;機車計次每次20元;,0~24時,300078,2765850.5,50,84,
90009,新北市,三峽區,NPSA,國立臺北大學三峽校區停車場,新北市三峽區大學路151號,2,平面式多目標附建停車場,2673-1949,大型車計次每次100元;小型車計次每次50元;,23~06時,287673,2759737.5,40,0,
110015,新北市,汐止區,NPXI,樟樹國中停車場,汐止區樟樹二路135號地下室,2,立體式多目標附建停車場,,機車計時每小時20元;,週六、日及國定假日8:00至21:00,314528.5,2773199.5,46,0,
40021,新北市,永和區,NPYH,欣紘停車場,永和區民權路39號B2,2,立體式建築附設停車空間,2945-5131,小型車月租每月3300元;,0~24時,302493.5,2765589,10,0,
40011,新北市,永和區,NPYH,永和區溪州零售市場停車場,永和區勵行街44號地下室,2,立體式多目標附建停車場,2925-6803,小型車月租每月3000元;,0~24時,302133,2767372,5,0,
30029,新北市,中和區,NPZH,新北市光復國小地下停車場,中和區光環路二段1號,2,立體式多目標附建停車場,3234-5645#134,小型車月租每月3000元;,平日19:00至隔日7:00；假日24小時,298773.5,2767500,131,0,
50017,新北市,新莊區,NPXZ,昌隆國小附設停車場,新莊區昌隆街63號,2,立體式建築附設停車空間,2996-2351,小型車月租每月1500元;,19:00至翌日7:00,295916,2771530.5,34,0,
20052,新北市,三重區,NPSC,力行商場停車場,三重區力行路一段52號旁,2,平面式臨時路外停車場,8985-8236,小型車計時每小時30元;小型車月租每月3500元;小型車月租每季9000元;,0~24時,299180.5,2773307,80,0,
20055,新北市,三重區,NPSC,久鑫停車場（一）,三重區進安街與通華街口,2,平面式臨時路外停車場,953789222,小型車月租每月2500元;小型車月租每季7000元;,0~24時,299982.5,2775333.5,13,0,
20056,新北市,三重區,NPSC,久鑫停車場（二）,三重區仁義街與通華街口,2,平面式臨時路外停車場,953789222,小型車月租每月2500元;小型車月租每季7000元;,0~24時,299938,2775301.5,13,0,
60029,新北市,新店區,NPXD,前瞻國際顧問股份有限公司寶中停車場,新店區寶中路65巷口對面,1,平面式臨時路外停車場,8914-5594,小型車計時每小時20元;大型車計時每小時60元;小型車月租每月3000元;大型車月租每月7000元;,0~24時,305269.5,2763704,295,0,
60039,新北市,新店區,NPXD,臺北科學城停車場,新店區北新路三段213號B1、B3與B4,2,立體式多目標附建停車場,2914-7089,小型車計時每小時40元;小型車月租每月4500元;,7:00至23:00,304522.5,2764336.5,366,0,
30040,新北市,中和區,NPZH,中和區中正路加油加氣站附設停車場,中和區中正路808號,2,立體式多目標附建停車場,,小型車月租每月2400元;小型車月租每季6900元;小型車月租每半年13200元;小型車月租每年25200元;,0~24時,298965.5,2766192.5,3,0,
10075,新北市,板橋區,NPBQ,兩家停車場,板橋區綠堤街39號旁,2,平面式臨時路外停車場,932048173,小型車月租每月6000元;,0~24時,295961,2768748.5,20,0,
10072,新北市,板橋區,NPBQ,香丘停車場,板橋區中山路一段279號,2,立體式多目標附建停車場,8953-8420,小型車計時每小時30元;小型車月租每月3300元;,0~24時,297449,2767423,79,0,
60038,新北市,新店區,NPXD,家樂福新店城室內停車場,新店區中興路三段1號B1、B2,2,立體式建築附設停車空間,8919-3333,;,上午8：50至凌晨2：00,305145.5,2763215.5,540,0,
70011,新北市,樹林區,NPSL,臺北縣樹林區文林國民小學停車場,樹林區千歲街59號,2,立體式多目標附建停車場,2681-2625#404,小型車月租每月2000元;,16:30至翌日7:00,292852.5,2765573.5,22,0,
50020,新北市,新莊區,NPXZ,信華大小型停車場,新莊區新樹路647-8號,2,平面式臨時路外停車場,8688-3763,小型車計時每小時20元;大型車計時每小時30元;,0~24時,293843,2766233,31,0,
130022,新北市,土城區,NPTC,承鴻實業停車場,土城區青雲路,2,平面式臨時路外停車場,2261-2838,小型車月租每月2400元;,0~24時,296279.5,2763539,90,0,
150002,新北市,五股區,NPWG,工商展覽中心地下停車場,五股工業區五權路1號,2,立體式多目標附建停車場,2299-6688,小型車計時每小時30元;小型車月租每月4000元;,8:00至22:30,295156,2773045,424,0,
50002,新北市,新莊區,NPXZ,中誠立體停車場,新莊區中誠街53巷1號,1,立體式-塔臺都市計畫停車場,2998-9179、2998-2021,小型車計時每小時20元;小型車月租每月4000元;,0~24時,295568,2771150,200,0,
20039,新北市,三重區,NPSC,聯永三重忠孝一站停車場(三重忠孝路),三重區忠孝路三段84巷63號旁空地,2,平面式臨時路外停車場,(02)27867755,小型車計時每小時20元;小型車月租每月4000元;,0~24時,298593.5,2772964.5,50,0,
10083,新北市,板橋區,NPBQ,國禮停車場,板橋區長江路一段194之3號,2,平面式臨時路外停車場,,小型車計時每小時30元;小型車月租每月3500元;機車月租每月400元;機車計次每次20元;,0~24時,296791.5,2769310.5,68,68,
30001,新北市,中和區,NPZH,新北市中和區民德立體停車場,中和區民德路188號,2,立體式都市計畫停車場,8951-6815,小型車計時每小時20元;小型車月租每月4000元;機車計次每次10元;,0~24時,297240.5,2765765.5,484,75,
60051,新北市,新店區,NPXD,前瞻國際顧問有限公司行遍天下地下室停車場,新店區中興路三段3號B2,2,立體式建築附設停車空間,,小型車計時每小時30元;小型車月租每月5500元;,0~24時,305137.5,2763353,185,0,
140004,新北市,蘆洲區,NPLZ,蘆洲區長安停車場,蘆洲區長安街100號,1,立體式-機械建築附設停車空間,8286-3063,小型車計時每小時20元;小型車月租每月4000元;,0~24時,296563,2774830.5,148,0,
170022,新北市,林口區,NPLK,家樂福林口店停車場,林口區文化二路一段559號地下2樓,2,立體式建築附設停車空間,2602-5858,小型車計時每小時30元;,9時至23時,287621,2774683.5,137,0,
50049,新北市,新莊區,NPXZ,智富停車場,新莊區中原路295號對面，中富路與中智街交叉口,2,平面式臨時路外停車場,2231-6406,小型車計時每小時40元;小型車月租每月4000元;,0~24時,295345,2771907.5,149,0,
60050,新北市,新店區,NPXD,寶橋停車場,新店區寶橋路188號對面,2,平面式臨時路外停車場,8911-7056,小型車計時每小時30元;小型車月租每月3500元;,0~24時,305500,2763467.5,49,0,
60004,新北市,新店區,NPXD,台灣國際開發事業有限公司寶橋停車場,新店區寶橋路10號,1,立體式都市計畫停車場,8911-0258,小型車計時每小時20元;小型車月租每月4000元;,0~24時,305155.5,2763110.5,482,0,
90022,新北市,三峽區,NPSA,宏丞停車場,三峽區大觀路23號旁,2,平面式臨時路外停車場,2674-0242；0936951980,小型車月租每月2500元;,0~24時,287845.568,2759776.433,41,0,
10086,新北市,板橋區,NPBQ,遠東資源開發股份有限公司遠東路1號營業所停車場,板橋區遠東路1號地下一層,2,立體式建築附設停車空間,7741-5000#583,機車計時每小時10元;小型車計時每小時30元;,7:00至23:00,296147,2765704,75,41,
60052,新北市,新店區,NPXD,大豐社福館附設停車場,新店區民族路110號B1,2,立體式建築附設停車空間,2218-5001#101、100(晚),小型車月租每月4000元;,8:00至21:00,304337,2763399,27,0,
140010,新北市,蘆洲區,NPLZ,新北市立鷺江國民中學地下停車場,蘆洲區長興路300號B2、B3,1,立體式建築附設停車空間,8286-1056,小型車計時每小時20元;小型車月租每月4000元;小型車月租每月2000元;小型車月租每月2000元;,0~24時,296558,2775998.5,200,0,
50052,新北市,新莊區,NPXZ,百客達停車場,新莊區中平路377巷,2,平面式臨時路外停車場,8993-7669,小型車月租每月2800元;小型車月租每月2500元;小型車計時每小時20元;,0~24時,294759,2771680.5,100,0,
160003,新北市,泰山區,NPTA,新北市泰山區楓樹腳公園地下停車場,泰山區楓江路26巷20號B2、B3,1,立體式建築附設停車空間,2900-7163,小型車計時每小時20元;小型車月租每月4000元;小型車月租每月2000元;小型車月租每月2000元;,0~24時,293777,2772590.5,382,0,
230012,新北市,八里區,NPBL,文心停車場,八里區大崁里4鄰賢三街83號,2,平面式臨時路外停車場,2610-1897,小型車計次每次100元;,10~22時,293130.5,2783696,28,0,
50052,新北市,新莊區,NPXZ,百客達停車場,新莊區中平路377巷17弄,2,平面式臨時路外停車場,8993-7669,小型車月租每月2500元;,0~24時,294759,2771680.5,17,0,
230016,新北市,八里區,NPBL,觀海停車場,八里區觀海大道,2,平面式臨時路外停車場,2619-3652,小型車計次每次100元;,8~22時,292970,2783766,26,0,
10087,新北市,板橋區,NPBQ,大觀停車場,板橋區大觀路一段38巷,2,平面式臨時路外停車場,8965-2048,小型車計時每小時30元;小型車月租每月4000元;機車月租每月500元;機車計次每次20元;,0~24時,295010.5,2766342.5,123,50,
230001,新北市,八里區,NPBL,八里區第一立體停車場,八里區舊城路12號,1,立體式都市計畫停車場,"2619-5268,86302707",小型車計時每小時20元;小型車月租每月4000元;,0~24時,290345,2782098,220,0,
60055,新北市,新店區,NPXD,綠灣會館停車場,新店區安祥路75號B1,2,立體式建築附設停車空間,2200-8299；2200-8088,小型車計時每小時20元;,8時至22時,298915.5,2761700.5,65,0,
130034,新北市,土城區,NPTC,延和停車場1場,土城區延和路250巷,2,平面式臨時路外停車場,2261-4770,小型車月租每月2500元;,0~24時,297363.5,2764705.5,14,0,
130035,新北市,土城區,NPTC,延和停車場2場,土城區延和路250巷,2,平面式臨時路外停車場,2261-4770,小型車月租每月2500元;,0~24時,297321.5,2764668,14,0,
60058,新北市,新店區,NPXD,新和活動中心附設停車場,新店區新和街109號B1,2,立體式建築附設停車空間,2943-7602,小型車月租每月3000元;小型車月租每月2000元;,0~24時,302155.5,2764302,12,0,
60057,新北市,新店區,NPXD,稚達停車場(二),新店區安光路15巷1號旁,2,平面式臨時路外停車場,939787189,;,0~24時,301599.5,2761816.5,29,0,
10089,新北市,板橋區,NPBQ,麗寶鵬程購物中心停車場,板橋區縣民大道二段3號B2、B3、B4、B5及B6,1,立體式建築附設停車空間,8969-7489,小型車計時每小時50元;小型車月租每月8000元;機車月租每月800元;機車計次每次40元;,0~24時,296568.5,2767238.5,368,375,
10090,新北市,板橋區,NPBQ,新北市大遠百停車場,板橋區新站路28號B2、B3、B4,2,立體式建築附設停車空間,7705-4168,小型車計時每小時60元;機車計次每次30元;,8:00~3:00,297097.5,2767342.5,610,1582,
180001,新北市,深坑區,NPSK,深坑公有立體停車場,深坑區北深路2段192號,1,立體式-塔臺多目標附建停車場,2662-4110(停車場)、2561-4400(廠商),小型車計時每小時30元;小型車月租每月6000元;,0~24時,311922,2766152,280,0,
10091,新北市,板橋區,NPBQ,金板神大樓地下停車場,板橋區南雅東路20-6號B2,2,立體式建築附設停車空間,0932241641；0988018105,小型車計時每小時30元;小型車月租每月2600元;,15時~24時,295886,2766560.5,20,0,
280008,新北市,萬里區,NPWA,萬里區商業文教綜合大樓地下停車場,萬里區瑪鍊路221號,2,立體式建築附設停車空間,2492-2064#312,小型車月租每月1000元;,0~24時,319522.5,2785872,18,0,
90007,新北市,三峽區,NPSA,中園國民小學B1停車場,三峽區大同路222巷22弄2號,2,立體式建築附設停車空間,8671-2590#235,小型車計次每次120元;小型車月租每月8000元;,0~24時,287083,2757848,28,0,
50057,新北市,新莊區,NPXZ,新莊中原二停車場,新莊區中原路255號對面,2,平面式臨時路外停車場,2231-6406,小型車計時每小時40元;小型車月租每月4000元;,0~24時,295281,2771881,41,0,
280007,新北市,萬里區,NPWA,萬里行政大樓B1停車場,萬里區瑪鍊路123號B1,2,立體式建築附設停車空間,2492-2064,小型車計時每小時20元;小型車月租每月1000元;,0~24時,319467,2785713.5,35,0,
10092,新北市,板橋區,NPBQ,高爾富停車場,板橋區遠東路1號後方空地,2,平面式臨時路外停車場,7738-9988,小型車計時每小時20元;,0~24時,295829.5,2765664,98,0,
40006,新北市,永和區,NPYH,秀朗樂活停車場,永和區民權路1號B1-B3,1,立體式多目標附建停車場,2941-4087,小型車計時每小時20元;小型車月租每月4000元;,0~24時,302646,2765772.5,760,0,
130027,新北市,土城區,NPTC,嵿埔之星科技廣場停車場,土城區中央路四段51號,2,立體式建築附設停車空間,2268-2243,小型車計時每小時20元;小型車月租每月2500元;,0~24時,292370,2761369.5,196,0,
10095,新北市,板橋區,NPBQ,永錡停車場,板橋區板林路及保安街一段交叉路口,2,平面式臨時路外停車場,2675-1811,"小型車計時每小時40元;小型車月租每月4,000元;",0~24時,293198.5,2765020.5,68,0,
60062,新北市,新店區,NPXD,安德停車場,新店區安德街139號旁,2,平面式臨時路外停車場,938919191,小型車月租每月1500元;,0~24時,301375,2761443.5,68,0,
60063,新北市,新店區,NPXD,新店區中國城停車場,新店區玫瑰段富貴街9巷,2,平面式臨時路外停車場,2945-5131,小型車月租每月2000元;,0~24時,300136,2760015,32,0,
130049,新北市,土城區,NPTC,Times裕民路停車場,土城區中央路一段72號對面,2,平面式臨時路外停車場,800888924,小型車計時每小時40元;小型車月租每月4500元;,0~24時,295190.6863,2764627.208,48,0,
30068,新北市,中和區,NPZH,便利停車場威力站,中和區中山路二段291、293、295、297號B5、5F至RF,2,立體式建築附設停車空間,2100-5200,小型車計時每小時40元;小型車月租每月3500元;,0~24時,300139,2765988,645,0,
30051,新北市,中和區,NPZH,齊揚停車場,中和區興南路二段131-2號,2,平面式建築附設停車空間,2948-4415,小型車計時每小時20元;小型車月租每月4000元;,0~24時,301002.5,2764097.5,34,0,
20086,新北市,三重區,NPSC,中興一停車場,三重區重新路四段244巷與214巷5弄交叉口,2,平面式臨時路外停車場,8522-0268,小型車月租每月3000元;,0~24時,299173.8,2771805,33,0,
20085,新北市,三重區,NPSC,中興二停車場,三重區重新路四段244巷與214巷5弄交叉口,2,平面式臨時路外停車場,8522-0268,小型車月租每月3000元;,0~24時,299124.5,2771798,17,0,
40026,新北市,永和區,NPYH,?和停車場,永和區中和路305巷口西側旁空地,2,平面式臨時路外停車場,937427601,機車計時每小時10元;小型車計時每小時40元;機車月租每月1000元;小型車月租每月3000元;,0~24時,301141.5,2765880.5,56,62,
30044,新北市,中和區,NPZH,齊一停車場,中和區員富里中山路三段114巷7號B1,2,立體式建築附設停車空間,2221-6020,小型車計時半小時25元;小型車計時每小時50元;小型車月租每月4000元;,0~24時,298001.5,2766739.5,131,0,
40035,新北市,永和區,NPYH,北城B2F、B5F停車場,永和區民權路53號B2及B5,2,立體式建築附設停車空間,2945-5131,小型車月租每月3500元;,0~24時,302474.5,2765526,145,0,
10002,新北市,板橋區,NPBQ,廣福公園平面停車場,板橋區廣權路與五權街口對面,2,平面式多目標附建停車場,933365044,小型車計時每小時30元;小型車月租每月6000元;,0~24時,296809,2764971.5,108,0,
60065,新北市,新店區,NPXD,安德停車場,新店區安德街60巷旁,2,平面式臨時路外停車場,937820492,小型車計時每小時20元;小型車月租每月2000元;,0~24時,301550.3,2761697,88,0,
60011,新北市,新店區,NPXD,新店區安和公園臨時平面停車場,新店區安和路二段141號旁,1,平面式都市計畫停車場,"2231-6406,2212-5734",小型車計時每小時20元;小型車月租每月4000元;,0~24時,302368,2762980.5,67,0,
140003,新北市,蘆洲區,NPLZ,蘆洲中山機械停車場,蘆洲區得勝街107號,1,立體式-塔臺都市計畫停車場,8285-3653,小型車月租每月4000元;小型車計時每小時20元;,0~24時,297711,2775104,268,0,
10003,新北市,板橋區,NPBQ,國光公園平面停車場,板橋區中正路375巷48號,2,平面式多目標附建停車場,"0933-365-044,0989679518",小型車計時每小時30元;小型車月租每月6000元;,0~24時,295752,2768162.5,55,0,
50069,新北市,新莊區,NPXZ,Times寶雅新莊停車場,龍安路252號、252-1號、252-2號、252-3號、252-5號,2,平面式建築附設停車空間,8952-6663,小型車計時每小時50元;小型車計次每次400元;,0~24時,292507.1,2768018,23,0,
30092,新北市,中和區,NPZH,永年停車場,中和區華順街52號右側,2,平面式臨時路外停車場,8952-6663,小型車月租每月2000元;,0~24時,297046.7,2765726,120,0,
60066,新北市,新店區,NPXD,京站停車場,新店區張南里新店路260號B2,2,立體式建築附設停車空間,2182-8888#9951,小型車計時每小時30元;小型車月租每月4800元;,10:00~24:00,304298.7,2761192,50,0,
110013,新北市,汐止區,NPXI,金龍公有停車場,汐止區中興路250號B1,2,立體式多目標附建停車場,2695-4118,小型車計時每小時20元;小型車月租每月4000元;,0~24時,313522.5,2773497.5,43,0,
270004,新北市,金山區,NPJS,金美停車場,金山區忠孝一路70號(對面),2,平面式臨時路外停車場,2498-4018,小型車月租每月2500元;小型車計次平日50元/次;小型車計次每次80元;,6~19時,314177.7,2790365,70,0,
100025,新北市,淡水區,NPTS,Times淡水原德路停車場,淡水區原德路8號旁,2,平面式臨時路外停車場,800888924,小型車計時每小時100元;小型車月租每月5000元;,0~24時,294574.4,2784858,8,0,
30031,新北市,中和區,NPZH,中和復興大樓地下停車場,中和區南山路236號B1-B2樓,1,立體式-機械多目標附建停車場,8941-8449,小型車計時每小時20元;小型車月租每月4000元;,0~24時,301147.5,2764715.5,70,0,
30003,新北市,中和區,NPZH,中和秀山公園地下停車場,中和區自立路15巷12號B1及B2,1,立體式多目標附建停車場,29479212,小型車計時每小時20元;小型車月租每月4000元;,0~24時,302845.5,2765386,404,95,
100002,新北市,淡水區,NPTS,新北市淡水區水碓立體停車場,淡水區中山北路一段189號,1,立體式都市計畫停車場,2629-9412,小型車計時每小時20元;小型車月租每月4000元;,0~24時,294726.5,2785624.5,446,0,
160002,新北市,泰山區,NPTA,泰山區義學立體停車場,泰山區明志路二段188號,1,立體式都市計畫停車場,8531-6494,小型車計時每小時20元;小型車月租每月2000元;機車免費免費;,0~24時,293099.5,2771290,566,42,
220002,新北市,石門區,NPSM,生活家富基漁港臨時停車場,石門區富基里楓林15-16號旁,2,平面式多目標附建停車場,26381367,小型車計次每次60元;,0~24時,303866.5,2798141,165,0,
40020,新北市,永和區,NPYH,寶座停車場,新北市永和區仁愛路306巷75號,2,平面式臨時路外停車場,2928-2104,小型車月租每月3000元;,0~24時,300845,2766847,64,0,
50004,新北市,新莊區,NPXZ,新北市新莊區四維立體停車場,新莊區四維路95號,1,立體式-機械都市計畫停車場,8201-0871、2201-1139,小型車計時每小時20元;小型車月租每月4000元;,0~24時,292749,2768495,240,0,
10039,新北市,板橋區,NPBQ,臺北紙廠停車場,板橋區大觀路二段28號,1,平面式臨時路外停車場,2275-1494,小型車計時每小時20元;小型車月租每月4000元;機車計次每次10元;機車月租每月120元;,0~24時,295054,2766183.5,210,153,
140007,新北市,蘆洲區,NPLZ,蘆洲區成功地下停車場,蘆洲區長安街222號地下1、2樓,1,立體式多目標附建停車場,2848-3105,小型車計時每小時20元;小型車月租每月4000元;,0~24時,296211,2775281.5,147,0,
110014,新北市,汐止區,NPXI,忠厚市場地下停車場,汐止區樟樹一路137巷26號B1,2,立體式多目標附建停車場,2643-7872,小型車計時每小時20元;小型車月租每月4000元;,0~24時,314658.5,2773238.5,73,0,
20038,新北市,三重區,NPSC,正義國小地下停車場,三重區信義西街31號B1、B2及B3,1,立體式多目標附建停車場,2984-7945,機車免費免費;小型車計時每小時20元;小型車月租每月4000元;,0~24時,300052,2773073,298,30,
70017,新北市,樹林區,NPSL,三多國民中學停車場,樹林區三多路101號,2,立體式建築附設停車空間,8688-1501,小型車月租每月2500元;,0~24時,291857,2766463,42,0,
40036,新北市,永和區,NPYH,新店溪福和橋區停車場,永和區福和橋下福和運動公園旁高灘地,2,平面式臨時路外停車場,02-8921-2104,小型車計時每小時20元;機車免費免費;,0~24時,303329.3,2766464,277,363,
10034,新北市,板橋區,NPBQ,新店溪華江堤外區停車場,板橋區華江橋下至光復水門內高灘地,2,平面式臨時路外停車場,2788-8750,小型車計時每小時20元;大型車計時每小時40元;小型車月租每月4000元;大型車月租每月8000元;機車免費免費;,0~24時,298625,2769710.5,546,334,
60068,新北市,新店區,NPXD,新店溪萊茵區停車場,新店區中安大橋下萊茵區高灘地,2,平面式臨時路外停車場,2788-7705,小型車計時每小時20元;小型車月租每月4000元;,0~24時,302744.8,2763805,163,0,
40037,新北市,永和區,NPYH,新店溪綠光河岸區停車場,永和區中正橋下綠光河岸區高灘地,2,平面式臨時路外停車場,2788-8750,小型車計時每小時20元;小型車月租每月4000元;,0~24時,302098,2767965,257,0,
60047,新北市,新店區,NPXD,新店溪親情河濱公園區停車場,新店區親情河濱公園區高灘地,2,平面式臨時路外停車場,2788-7705,小型車計時每小時20元;小型車月租每月4000元;,0~24時,304112.5,2762073.5,152,0,
70028,新北市,樹林區,NPSL,樹林大安收費停車場,樹林區大安路118號,2,立體式建築附設停車空間,2542-0001,小型車計時每小時30元;小型車月租每月3000元;,0~24時,292501.3,2765461,412,0,
30094,新北市,中和區,NPZH,Times 土城青雲路停車場,中和區立德街73號地下一、二樓,2,立體式建築附設停車空間,2228-8613,小型車計時每小時50元;小型車月租每月6000 元;,0~24時,299147.8,2766742,171,0,
50026,新北市,新莊區,NPXZ,明日之星收費停車場,新莊區中正路514巷99號,2,立體式-機械建築附設停車空間,2908-9999,小型車計時每小時30元;小型車月租每月3500元;,0~24時,293480,2769661,76,0,
100026,新北市,淡水區,NPTS,家樂福淡新店停車場,新北市淡水區崁頂里2鄰中山北路二段383號,2,立體式建築附設停車空間,2631-8880,小型車計時每小時30元;機車計時每次10元;,0~24時,294688,2786514,292,299,
30093,新北市,中和區,NPZH,Times中和黃帽汽車百貨停車場,新北市中和區建康路120號2樓,2,立體式建築附設停車空間,2504-6098,;,0~24時,299317.2,2765885,21,0,
30096,新北市,中和區,NPZH,安平停車場,新北市中和區安平路109號地下1樓,2,立體式建築附設停車空間,2986-9257,小型車計時每小時30元;小型車月租每月5000元;,0~24時,301634.7,2765624,27,0,
60069,新北市,新店區,NPXD,永昌停車場,新店區寶高路120巷3弄口,2,平面式臨時路外停車場,02-86615716,小型車月租每月4000元;,0~24時,306001.7,2763209,31,0,
50079,新北市,新莊區,NPXZ,成功停車場,新莊區成功街202號旁,2,平面式臨時路外停車場,980475645,小型車月租每月1500元;,0~24時,292543.3,2767870,41,0,
110045,新北市,汐止區,NPXI,雍和台北園區收費停車場,新北市汐止區南陽街185~213號B1,2,立體式建築附設停車空間,2692-7006,小型車計時每小時20元;小型車月租每月3000元;,8~24時,313131.4,2772395,184,0,
50058,新北市,新莊區,NPXZ,新莊中原三停車場,新莊區中原路247號對面,2,平面式臨時路外停車場,2231-6406,小型車計時每小時30元;小型車月租每月4000元;,0~24時,295208.5,2771891.5,29,0,
