id,name,phone,desc,market_id,market,local_id,vendor_username
U031001,KT小舖,0920-762885,日本卡通精品(Hello Kitty)專賣店,U031,新北市三峽區公有零售市場,NPSA,sgjxr838
U031002,三峽大腸圈,0927-679090,大腸圈,U031,新北市三峽區公有零售市場,NPSA,geakq5701
U031003,正一台東放山雞,0988-526-893,台東關山、正土雞、放山雞及各式雞種,U031,新北市三峽區公有零售市場,NPSA,oyldz6920
U031004,金信海鮮批發,0933-003634,現撈切片魚及活魚,U031,新北市三峽區公有零售市場,NPSA,yhwrj401
U031005,珈琲瑀,8672-0204,咖啡、鬆餅及點心,U031,新北市三峽區公有零售市場,NPSA,edfen914
U031006,認證有機蔬果,0931-330443,認證有機蔬果、雜糧及雞蛋,U031,新北市三峽區公有零售市場,NPSA,gonmz5222
U031007,禛品屋,0920-851901,日韓精品,U031,新北市三峽區公有零售市場,NPSA,vvfos131
U031008,彌樂堡德式田園麵包,0956-991758,麵包、吐司,U031,新北市三峽區公有零售市場,NPSA,czfwx743
U032001,牟家青島水餃,0910-331-244,水餃、韭黃鮮蝦水餃、素食水餃、胡瓜水餃,U032,新北市中和區枋寮公有零售市場,NPZH,sgjxr838
U032002,東方嘉華服飾精品,0933-045-387,精美舶來品、服飾、包包、配件,U032,新北市中和區枋寮公有零售市場,NPZH,geakq5701
U032003,香菇麻糬舖,0975-317-105,當季韓國時尚服飾配件，並且為傳統市場內，少數提供刷卡服務之攤舖,U032,新北市中和區枋寮公有零售市場,NPZH,ioeyn6689
U032004,福濱水果行,0928-819-935,時令新鮮水果,U032,新北市中和區枋寮公有零售市場,NPZH,jwiay2313
U032005,糖果舖,0937-060-472,日、韓特有糖果餅乾，包含多項日本地區限定商品。,U032,新北市中和區枋寮公有零售市場,NPZH,apgrm804
U032006,馥香雞,無,鹽水雞、甘蔗雞、香雞油,U032,新北市中和區枋寮公有零售市場,NPZH,mlqrn2744
U033001,三合食品,0927-890-079,新鮮火鍋料、炸物,U033,新北市永和區永安公有零售市場,NPYH,akujd4143
U033002,土霸王-漢方雞,0960-573-293,漢方雞、滴雞精,U033,新北市永和區永安公有零售市場,NPYH,geakq5701
U033003,永安包子店,0922-793-749,上海式青江菜包,U033,新北市永和區永安公有零售市場,NPYH,jdzkm6403
U033004,草上飛刀專賣店,(02)2924-6186,各式別具風格的菜刀,U033,新北市永和區永安公有零售市場,NPYH,qwsxt174
U033005,萱品豐珠寶,(02)2920-1714,玉飾、水晶、琥珀,U033,新北市永和區永安公有零售市場,NPYH,eiilw660
U034001,小栗日本料理,0987-509-023,生魚片、握壽司、手捲,U034,新北市永和樂華攤集區,NPYH,rmymk4398
U034002,小義大利咖啡,0931-139-260,自家焙煎咖啡豆、現煮咖啡、咖啡拉花、咖啡外帶瓶,U034,新北市永和樂華攤集區,NPYH,lcnbs868
U034003,川麻辣臭豆腐,0930-191-816,臭豆腐、麻辣鴨血,U034,新北市永和樂華攤集區,NPYH,puvuz131
U034004,永美雪花冰,0931-139-260,花生雪花冰、新鮮芒果煉乳冰,U034,新北市永和樂華攤集區,NPYH,yuhwt585
U034005,阿蓮米粉湯,0913-695-819,米粉湯、豬油拌飯,U034,新北市永和樂華攤集區,NPYH,uvarj1087
U034006,福賓牛排館,0930-297-108,排餐、酥皮濃湯,U034,新北市永和樂華攤集區,NPYH,xdgcz180
U034007,蒜頭奶奶豆乳雞,0938-613-080,紅糟豆乳雞、深海魷魚、甘梅薯條,U034,新北市永和樂華攤集區,NPYH,heksy193
U035001,5.8度C涼麵,0910-198-082,涼麵及各式現煮現賣麵食,U035,新北市汐止區金龍公有零售市場,NPXI,nfhvf2986
U035002,79號,0937-429417,燒雞、滷味、小菜,U035,新北市汐止區金龍公有零售市場,NPXI,tlqyo850
U035003,三兄弟雞肉,02-2695-2680,,U035,新北市汐止區金龍公有零售市場,NPXI,zlsna2555
U035004,宇記肉鬆,0931-241-991,肉乾、肉鬆、肉紙,U035,新北市汐止區金龍公有零售市場,NPXI,hoykd3188
U035005,汐止百年紅龜店,02-2643-0356、0921-060-587,紅龜粿、饅頭,U035,新北市汐止區金龍公有零售市場,NPXI,cnrrk5701
U035006,米粉湯,(02)2692-6156,米粉湯、美味小菜,U035,新北市汐止區金龍公有零售市場,NPXI,bhgbo6217
U035007,東海糙米雞,02-2695-2680,,U035,新北市汐止區金龍公有零售市場,NPXI,bybqy0
U035008,阿圳蔬菜,0933-623-552,時令新鮮蔬菜,U035,新北市汐止區金龍公有零售市場,NPXI,oabwj5947
U035009,阿宏鮮魚號,0933-241264,海鮮,U035,新北市汐止區金龍公有零售市場,NPXI,xuetr7181
U035010,蔡ㄟ鮮,0933-731-619,當季新鮮水果,U035,新北市汐止區金龍公有零售市場,NPXI,zsjeo9561
U036001,千金方漢藥鋪,0936-747-878,純正中藥材、古法提煉養生茶飲,U036,新北市汐止區忠厚公有零售市場,NPXI,okkkm180
U036002,生鮮24(黃榮熙),02-2641-1111,,U036,新北市汐止區忠厚公有零售市場,NPXI,fizhj131
U036003,地下錢莊香鋪,0919-552-554,環保金紙、環保線香、各式紙糊,U036,新北市汐止區忠厚公有零售市場,NPXI,hytvr791
U036004,阿妹蔬果攤,0932-073-416,網室栽培蔬菜,U036,新北市汐止區忠厚公有零售市場,NPXI,djwnf660
U036005,感恩蔬菜行,0939-353-718,生鮮蔬菜,U036,新北市汐止區忠厚公有零售市場,NPXI,ufepz1645
U037001,大拇指鹽酥雞(50號),0927-050-776,鹽酥雞、酥炸魷魚、培根蔥捲、脆黃瓜、炸皮蛋,U037,新北市汐止區觀光夜市攤販集中區,NPXI,ettbt1922
U037002,大嫂健康飲料(58號),0936-873-962,純天然果汁,U037,新北市汐止區觀光夜市攤販集中區,NPXI,pfvct2744
U037003,大慶牛排(59號),0955-737-078,煎烤牛排,U037,新北市汐止區觀光夜市攤販集中區,NPXI,saxnq680
U037004,芋ㄋㄧˊ 娃娃(61號),0929-123-666,仙草冰、芋頭相關冰飲品,U037,新北市汐止區觀光夜市攤販集中區,NPXI,kumcn6920
U037005,林師父義大利麵(39號),0963-068-481,各種口味義大利麵,U037,新北市汐止區觀光夜市攤販集中區,NPXI,urqnn8679
U037006,長昇小吃店(92號),0988-010-515,快炒泡麵  中式蓋飯,U037,新北市汐止區觀光夜市攤販集中區,NPXI,luapj1922
U037007,阿榮肉圓(77號),2695-6566,肉圓、大腸麵線、魚丸湯,U037,新北市汐止區觀光夜市攤販集中區,NPXI,mwaod6094
U037008,剉冰女王冰點屋(82號),0938-754-666,冰點、燉蛋冰、沙龍冰、蝶戀冰,U037,新北市汐止區觀光夜市攤販集中區,NPXI,wbsqv2555
U037009,桶神滷味(16號),0913-772-211,各式滷味、養生石花凍,U037,新北市汐止區觀光夜市攤販集中區,NPXI,tdcgl350
U037010,陳家當歸鴨(62號),0972-162-969,當歸鴨、鴨肉飯、當歸豬腳等,U037,新北市汐止區觀光夜市攤販集中區,NPXI,negz0
U037011,陳隆豬腳(83號),0935-573-886,豬腳麵線禮盒,U037,新北市汐止區觀光夜市攤販集中區,NPXI,btqz743
U037012,圓環小吃(68號),0910-994669,蚵仔煎、魯肉飯、肉羹、草菇排骨湯,U037,新北市汐止區觀光夜市攤販集中區,NPXI,trpi771
U037013,瑞芳龍鳳腿(13號),0911-918-985,龍鳳腿、雞腿捲、雞腿排,U037,新北市汐止區觀光夜市攤販集中區,NPXI,cdic101
U037014,慶源傳統美食(32號),02-26413373,海產羹、油飯、雙管四神湯,U037,新北市汐止區觀光夜市攤販集中區,NPXI,dpmo680
U037015,蔡媽媽歡樂冰品屋(71號),0932-200-905,採用當季新新水果、QQ芋圓，注重顏色配置，滿滿的剉冰讓客人垂涎三尺。,U037,新北市汐止區觀光夜市攤販集中區,NPXI,ribd970
U037016,餓一ㄠ呷麵(70號),0922-562-840,炭燒排骨麵、清蒸羊肉麵,U037,新北市汐止區觀光夜市攤販集中區,NPXI,wgep4596
U037017,蠔門(21號),0911-298-980,無煙燒烤生蠔、各式海鮮燒烤、各式海鮮料理,U037,新北市汐止區觀光夜市攤販集中區,NPXI,dwxr180
U038001,山東手工水餃,0911-932-552,水餃、餛飩,U038,新北市汐止區黃昏攤販集中區,NPXI,jrck3188
U038002,王廷子燒雞,0928-112-136,燻雞、鹽水雞、各式小菜,U038,新北市汐止區黃昏攤販集中區,NPXI,aeqj9356
U038003,包先生傳統美食,0960-780618,當日現作各式包子,U038,新北市汐止區黃昏攤販集中區,NPXI,aycc5472
U038004,汐止水果王,0918-310512,各式國產、進口水果/禮盒專賣,U038,新北市汐止區黃昏攤販集中區,NPXI,knad180
U038005,宜家鮮蔬園,0922-215222,當季新鮮蔬果/每日配送,U038,新北市汐止區黃昏攤販集中區,NPXI,lmqk1231
U038006,明珠海鮮,0932-070-519,擺盤精美、標價清楚/基隆現撈新鮮魚貨,U038,新北市汐止區黃昏攤販集中區,NPXI,kaki413
U038007,東港生魚片,0920-846-385,生魚片,U038,新北市汐止區黃昏攤販集中區,NPXI,zkni515
U038008,阿立拉拉山蔬果專門鋪,0956-757768,高山蔬菜/各式特色蔬果,U038,新北市汐止區黃昏攤販集中區,NPXI,yueg24
U038009,阿宗豬肉,0915-073633,新鮮國產豬肉/各式豬肉加工品,U038,新北市汐止區黃昏攤販集中區,NPXI,wthf9121
U038010,莠莠蔬果,0987-468808,每日新鮮蔬菜/豐富火鍋料,U038,新北市汐止區黃昏攤販集中區,NPXI,mcjn914
U039001,王家肉羹,0960-733-199,肉羹,U039,新北市板橋區黃石公有市場,NPBQ,vvng2125
U039002,王家黃石肉羹,0960-733199,美食,U039,新北市板橋區黃石公有市場,NPBQ,ufjd398
U039003,老曹餛飩,0936-123292,餛飩、滷菜、油蔥,U039,新北市板橋區黃石公有市場,NPBQ,kzvo643
U039004,阿海台東奄雞,2965-2688、0928-129-139,台東奄雞、現烤鹹豬肉,U039,新北市板橋區黃石公有市場,NPBQ,idsd7989
U039005,風權號牛肉店,02-9612886,獸肉,U039,新北市板橋區黃石公有市場,NPBQ,octf99
U040001,牛狠燒-火烤骰子牛,0983-022-973,,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,otkc619
U040002,正新肉圓,無,,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,piur1645
U040003,正新營肉圓,0920-780-058,肉圓、四神湯、阿婆肉粽,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,nwpt7181
U040004,印度及泰式拉茶,0935-000-957,,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,yibk585
U040005,板橋宋家,0920-783021,炒螃蟹、燒酒螺、無骨鳳爪等下酒菜,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,ivbh5472
U040006,眼鏡仔豬血湯,0955-513-507,,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,uuni8854
U040007,許記藥膳之家,0912-840-123,,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,glra1645
U040008,黃金烤雞腿,0911-609-222,,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,mory1645
U040009,黃家優格霜淇淋,02-8200-1811,吃了不會發胖，有良心的霜淇淋,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,pwve296
U040010,黃家優格雙淇淋,0932-082-280,優格霜淇淋,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,hmdd2313
U040011,愛斯基摩手工冰淇淋,0935-122-253,,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,rsln180
U040012,煙燻滷味,0970-769-763,特製滷味、老闆獨家特調的蒜蓉醬、辣椒醬,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,zxme101
U040013,養身茶舖,0987-730-230,,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,fmwd4398
U040014,雞窩酥雞,0970-920-107,雞排、鹽酥雞、手工芋頭餅、煉乳銀絲卷,U040,新北市板橋區湳雅觀光夜市(民營),NPBQ,vgcw533
U041001,文華燒雞鴨鋪,0963-333-088,紅燒肉、燒雞,U041,新北市林口區林口市場,NPLK,ejcv791
U041002,昱達火鍋,0932-084-305,各式火鍋料,U041,新北市林口區林口市場,NPLK,exym99
U041003,泰興豬肉品,02-2601-8330,現宰豬肉,U041,新北市林口區林口市場,NPLK,izci426
U041004,新東源肉鬆食品,02-2601-8330,肉鬆、肉乾、肉紙,U041,新北市林口區林口市場,NPLK,qfek296
U042001,有餘本舖,0958-568816,炒飯、炒麵、鍋燒麵等小吃,U042,新北市林口東勢公有零售市場,NPLK,hekp8403
U042002,邱記21,0932-309-815,嘉義南部花生肉棕、刈包及四神湯,U042,新北市林口東勢公有零售市場,NPLK,xmum296
U042003,金水黑毛豬,0932-650289,本地黑毛豬,U042,新北市林口東勢公有零售市場,NPLK,fxxd9561
U043001,秀英水果行(5號),0933-101-268,各式各樣經水果,U043,金山第一公有零售市場,NPJS,rccs257
U043002,阿郎魚丸店(49號),02-24986341,金山唯一手工現打現做魚漿加工品,U043,金山第一公有零售市場,NPJS,xapf7989
U043003,曾亞米魚荖本舖,0989-368-191,魚荖、麻荖、麻花,U043,金山第一公有零售市場,NPJS,dbtl350
U044001,Aone領鮮果汁牛奶專賣,0982-296-760,現切現榨果汁,U044,新北市泰山區泰山公有市場(甲),NPTA,sxob305
U044002,Aone領鮮果汁牛奶專賣店,0982-296-760,綜合蔬果汁,U044,新北市泰山區泰山公有市場(甲),NPTA,bnvt2125
U044003,八里水產,0910-362-629,當季魚貨,U044,新北市泰山區泰山公有市場(甲),NPTA,skvq222
U044004,三界油飯,02-2909-2735,雞酒油飯、彌月油飯,U044,新北市泰山區泰山公有市場(甲),NPTA,wkacgy193
U044005,世介勇甘蔗雞,0952-366-079,甘蔗雞,U044,新北市泰山區泰山公有市場(甲),NPTA,lfurfq4143
U044006,加意蜂蜜茶鵝,02-2900-4123,蜂蜜茶鵝,U044,新北市泰山區泰山公有市場(甲),NPTA,uilrle643
U044007,光美百貨,0955-596-779,手工包包,U044,新北市泰山區泰山公有市場(甲),NPTA,mvpake9121
U044008,衣之藝服飾,2900-4071、0928-802-179,衣服,U044,新北市泰山區泰山公有市場(甲),NPTA,oiqbzb1560
U044009,吳媽媽手工水餃,02-2900-4135,高麗菜水餃、韭菜水餃、玉米水餃、綜合水餃,U044,新北市泰山區泰山公有市場(甲),NPTA,hfaqyb850
U044010,豆花、米苔目、紅豆湯,0935-068662,綜合豆花,U044,新北市泰山區泰山公有市場(甲),NPTA,tycjzt660
U044011,長榮精品,0915-353669,其他,U044,新北市泰山區泰山公有市場(甲),NPTA,xlvxqo156
U044012,長榮精品鐘錶洋酒茶葉,0915-353-669,鐘錶、洋酒、茶葉,U044,新北市泰山區泰山公有市場(甲),NPTA,ywcgpr3613
U044013,阿月姊青菜古早味雞捲,0935-971118,,U044,新北市泰山區泰山公有市場(甲),NPTA,kwvsfb5701
U044014,阿美清潔蔬菜,02-29004216,新鮮蔬菜,U044,新北市泰山區泰山公有市場(甲),NPTA,bhopam4398
U044015,家錚雜貨鋪,02-2900-4101,各式雜貨,U044,新北市泰山區泰山公有市場(甲),NPTA,jhzfsy0
U044016,細將咖啡,02-2900-4009/0936-123023,冰滴咖啡,U044,新北市泰山區泰山公有市場(甲),NPTA,ebalyc736
U044017,喜元坊,2909-9551*1701,鞋子,U044,新北市泰山區泰山公有市場(甲),NPTA,pldzjo7602
U044018,惠珍純手工水餃,02-2900-4147,手工水餃,U044,新北市泰山區泰山公有市場(甲),NPTA,rbayfg981
U044019,惠茹小舖,0961-068-296,文具、包包、飾配件,U044,新北市泰山區泰山公有市場(甲),NPTA,dfobdo660
U045001,王記,0937-080-528,手工黑糖剉冰、古早味茶飲及現打果汁,U045,新北市淡水區中正公有零售市場,NPTS,aftgzc7356
U045002,幸福之咖啡,02-2621-2134,冰滴咖啡,U045,新北市淡水區中正公有零售市場,NPTS,vymsim5222
U045003,御之田,0925-726976,淡水特色小吃,U045,新北市淡水區中正公有零售市場,NPTS,gjzpfu2744
U045004,黑金傳奇-薑母茶,0917-587-298,黑糖薑母茶、四物茶、桂圓茶,U045,新北市淡水區中正公有零售市場,NPTS,cbyzpm948
U046001,太儀美味商店,0910-917-816,自產、精選新鮮蔬果、調味料,U046,新北市淡水中山公有零售市場,NPTS,qasfgv79
U046002,玉品居珠寶店,0936-168837,緬甸出產之礦石,U046,新北市淡水中山公有零售市場,NPTS,ioxbwr368
U046003,食尚美食,0928-867355,自產自銷石花凍、梅干扣肉飯,U046,新北市淡水中山公有零售市場,NPTS,zkwvoq743
U047001,阿伯老店(T44),(02)24977822,招牌熱油麻糬，純手工、純糯米，軟嫩Q彈。,U047,瑞芳第二公有零售市場,NPRF,fqzjyq743
U047002,連莊美食(T33),0936-124-811,鹹冬瓜豬腳湯 各式便當飯菜,U047,瑞芳第二公有零售市場,NPRF,swimqx914
U047003,福州林記胡椒餅(T24),0935-880-995,胡椒餅,U047,瑞芳第二公有零售市場,NPRF,tlq7181
U047004,豐味肉羹(T8),(02)24979233,肉羹、魷魚羹,U047,瑞芳第二公有零售市場,NPRF,bpn555
U047005,鐵板燒(T28),0952-203-118,鐵板燒,U047,瑞芳第二公有零售市場,NPRF,phe482
U048001,小雅早餐,0935-637-782,香蒜厚片吐司、焗烤鳳梨厚片吐司、西西里雞腿、宮保雞丁麵、三杯雞麵,U048,新北市蘆洲區永平公有零售市場,NPLZ,adt804
U070001,121有機素食,02-2833-8353,有機蔬菜,U070,臺北市士林區士東市場(甲),TPSH,eso914
U070002,Coffee and Tea,0930-900-727,自家烘焙咖啡、義式咖啡,U070,臺北市士林區士東市場(甲),TPSH,vmk4700
U070003,士東牛肉莊,2831-2565,進口高級牛肉、羊肉,U070,臺北市士林區士東市場(甲),TPSH,xmw6094
U070004,天母鵝雞肉亭,02-2832-9579,煙燻蜜汁烤茶鵝,U070,臺北市士林區士東市場(甲),TPSH,scg6403
U070005,四行倉庫,2834-1876,,U070,臺北市士林區士東市場(甲),TPSH,lwn643
U070006,安麗精品店,0933-154-196,世界名牌皮包、香水、衣服、圍巾、日本生活精品百貨、Hello Kitty最新商品,U070,臺北市士林區士東市場(甲),TPSH,jzv477
U070007,奇香肉鬆,02-2834-5620,肉鬆、魚鬆、肉乾、魷魚絲、堅果類,U070,臺北市士林區士東市場(甲),TPSH,mac1645
U070008,采縈小舖,02-2835-2045,義大利純橄欖油、葡萄籽油、精選花東米、健康五縠雜糧、十穀米、正港鄭家雞園土雞蛋、有機益力蛋,U070,臺北市士林區士東市場(甲),TPSH,rjh2744
U070009,阿雪生鮮有機蔬菜,0933-765192,新鮮有機蔬菜,U070,臺北市士林區士東市場(甲),TPSH,qfr482
U070010,童家饅頭,02-2832-1088,桑椹饅頭、蔓越莓饅頭,U070,臺北市士林區士東市場(甲),TPSH,ihp771
U070011,嘉篁藝品,0976-306-844,工藝、石頭、玉石,U070,臺北市士林區士東市場(甲),TPSH,ufs660
U070012,魏記水餃,02-28328218,生鮮手工水餃,U070,臺北市士林區士東市場(甲),TPSH,yyk193
U071001,沈記原汁牛肉麵,02-2511-4004,牛肉麵,U071,臺北市中山區松江市場,TPZS,czp24
U071002,南北盆景鮮花店,02-2571-4156,鮮花盆栽,U071,臺北市中山區松江市場,TPZS,fhm477
U071003,南北雞鴨店,02-2563-3189 / 0932-147-231,新鮮雞肉,U071,臺北市中山區松江市場,TPZS,onl101
U071004,益宏食品行,02-2563-3996,油飯、炒麵,U071,臺北市中山區松江市場,TPZS,gmp704
U071005,滋美珍肉脯店,02-2563-0606,招牌低油脂肉鬆、豬肉脯 ,U071,臺北市中山區松江市場,TPZS,wtp948
U071006,蛤蛤世界,0983-553-887,,U071,臺北市中山區松江市場,TPZS,zzm791
U072001,鼎A9台灣肉類食品名店,0935-573-886,肉紙干、肉乾、肉角、肉條、魚鬆等,U072,臺北市中山區大直市場,TPZS,ddj4596
U073001,幼娟手作工坊,02-2356-4802,,U073,臺北市中正區南門市場(甲),TPZZ,kfv680
U073002,正興雞鴨店,02-2351-2726,雞、鴨、玫瑰油雞,U073,臺北市中正區南門市場(甲),TPZZ,hlr743
U073003,永順蔬菜,02-2395-2269/0926-588883/0937-420420,自製酸白菜、韓式泡菜、薺菜水餃,U073,臺北市中正區南門市場(甲),TPZZ,lb1231
U073004,立家湖州粽,02-23930469,湖洲豆沙粽、湖州鮮肉粽,U073,臺北市中正區南門市場(甲),TPZZ,xm5222
U073005,光揚土雞店,02-2351-6347,,U073,臺北市中正區南門市場(甲),TPZZ,vv1231
U073006,老林記素食齋菜,02-2341-8581 ,冰糖蓮藕、清蒸臭豆腐、雪菜百頁,U073,臺北市中正區南門市場(甲),TPZZ,jn914
U073007,快車食品行,(02)2396-5528,豬肉、牛肉、雞肉、魚肉等肉類製品及零嘴、蜜餞等。,U073,臺北市中正區南門市場(甲),TPZZ,bq257
U073008,東東精品蔬菜店,02-2396-5598,專營當令新鮮時蔬、養生藥膳食材、進口蔬菜、各種水耕有機葉菜,U073,臺北市中正區南門市場(甲),TPZZ,il585
U073009,金龍肉脯店,無,,U073,臺北市中正區南門市場(甲),TPZZ,gg8403
U073010,阿榮海鮮號,02-2395-2267/0937-270657,新鮮海產、漁貨,U073,臺北市中正區南門市場(甲),TPZZ,ah948
U073011,徐家點心,02-2341-1579,八寶飯、紫米芝麻包、芋泥八寶,U073,臺北市中正區南門市場(甲),TPZZ,kw743
U073012,秦鈺軒商行,02-2321-8069,,U073,臺北市中正區南門市場(甲),TPZZ,fk4700
U073013,普魯軾歐式美食,0931-100-968,德國豬腳、香腸,U073,臺北市中正區南門市場(甲),TPZZ,yu680
U073014,逸湘齋,02-2393-0469,佛跳牆、蔥烤鯽魚、紅椒蟹、紹興醉蝦、荷葉排骨、五更腸旺、梅干扣肉、冬筍考麩、冰糖蓮藕,U073,臺北市中正區南門市場(甲),TPZZ,qo1560
U073015,隆記南京板鴨,02-2351-8857,甘蔗燻雞、桂花鹽水鴨,U073,臺北市中正區南門市場(甲),TPZZ,rh948
U073016,萬有全火腿,0958-262-818,,U073,臺北市中正區南門市場(甲),TPZZ,et736
U073017,福泰和,02-2391-2269,魚翅、刺參、鮑魚,U073,臺北市中正區南門市場(甲),TPZZ,mc305
U073018,億長御坊,02-23930383,,U073,臺北市中正區南門市場(甲),TPZZ,pb966
U073019,潮滬軒,0935-195-657,佛跳牆、乾扁四季豆、東坡肉、蒼蠅頭韭菜、花生豬腳,U073,臺北市中正區南門市場(甲),TPZZ,oo2744
U073020,嚐嚐九九,02-3393-2058,各式熱炒,U073,臺北市中正區南門市場(甲),TPZZ,hs3188
U074001,沅誠水餃店,02-2393-9424,水餃、雲吞,U074,臺北市中正區東門市場,TPZZ,dj2744
U074002,味好香燒臘店,02-2341-9844,臘腸、臘肉、金銀肝、龍鳳腿、雲腿,U074,臺北市中正區東門市場,TPZZ,sl4700
U074003,現榨剝皮柳橙,0922-715-787,現榨果汁、甜品,U074,臺北市中正區東門市場,TPZZ,wc156
U074004,創業雞鴨店,02-2394-1126,雞肉、鴨肉,U074,臺北市中正區東門市場,TPZZ,cr1645
U074005,富盛鮮魚號,02-2321-8209,活魚現宰,U074,臺北市中正區東門市場,TPZZ,uc2313
U074006,華國牛肉莊,02-2321-3460、02-2631-7489、0988-133-818,手工牛肉水餃、牛肉香腸,U074,臺北市中正區東門市場,TPZZ,zm5472
U074007,黃媽媽米粉湯,0922-238529,米粉湯、美味小菜,U074,臺北市中正區東門市場,TPZZ,tn619
U074008,羅媽媽米粉湯,02-2351-3352,,U074,臺北市中正區東門市場,TPZZ,jlckxdt533
U075001,幸福廚房,02-23928179,青醬辣味墨魚麵、北海道味噌鮮鍋,U075,臺北市中正區華山市場,TPZZ,afvvhdu926
U075002,旺進雞行,0932-190-620,鹽水雞、煙燻土雞,U075,臺北市中正區華山市場,TPZZ,rqsrmcr4936
U075003,松鼠Bnbon,02-2392-8179,可麗露、起司蛋糕、各種烘焙點心,U075,臺北市中正區華山市場,TPZZ,ucwyini850
U075004,松鼠Bonbon,02-2392-8179,可麗露、起司蛋糕、各種烘焙點心,U075,臺北市中正區華山市場,TPZZ,corkpfj9749
U075005,阿興麵食館,02-23570934,,U075,臺北市中正區華山市場,TPZZ,mnhhopr736
U075006,喜樂手工蛋捲坊,0916-778-259,手工蛋捲、手工餅乾,U075,臺北市中正區華山市場,TPZZ,wblpusm350
U075007,熊之屋,02-23921573,,U075,臺北市中正區華山市場,TPZZ,yugkaee2125
U075008,辣媽滷味,0920-957-669,麻辣鴨血、招牌套餐,U075,臺北市中正區華山市場,TPZZ,ximdecn2313
U075009,德記水果行,02-2394-3803,進口水果、有機水果,U075,臺北市中正區華山市場,TPZZ,kqqouxh4700
U076001,Juice For Life,02-8797-6806,鮮榨果汁,U076,臺北市內湖區西湖市場,TPNH,epbfbvg2555
U076002,丸子達人,0910-071-989,多種口味丸子,U076,臺北市內湖區西湖市場,TPNH,ujekmwu791
U076003,王朝燕窩,0987-429-272,燕窩產品,U076,臺北市內湖區西湖市場,TPNH,rjegcxh99
U076004,西湖小立吞,0913-358-068,日本料理、手做料理,U076,臺北市內湖區西湖市場,TPNH,gqalyet5947
U076005,咖哩嚕哆,0973-655-417,,U076,臺北市內湖區西湖市場,TPNH,fmzwvoq6217
U076006,建徽肉品,0981-095-583,,U076,臺北市內湖區西湖市場,TPNH,ijpaxzw99
U076007,珍香肉品,0928-203-895,豬肉干、肉鬆,U076,臺北市內湖區西湖市場,TPNH,ssgcbfp9561
U076008,珍香肉品專賣店,0928-203-895,,U076,臺北市內湖區西湖市場,TPNH,qfvghgu401
U076009,陳允花研所,02-26581118/0939-959398,花卉擺設、會場佈置,U076,臺北市內湖區西湖市場,TPNH,dudettg627
U076010,跩媽咪手工水餃,02-2631-2897,手工水餃、招牌私房餃,U076,臺北市內湖區西湖市場,TPNH,bijieta804
U077001,93豬肉店,0987-686-993,新鮮現宰豬肉,U077,臺北市文山區木柵市場,TPWS,uzusfzh296
U077002,品三仙扁食之家,0932-006-107,特色扁食,U077,臺北市文山區木柵市場,TPWS,perbytw3245
U077003,馬沙海鮮,無,新鮮漁獲,U077,臺北市文山區木柵市場,TPWS,lspjgjd585
U077004,銘記肉鬆店,0933-748-027,豬肉干、肉鬆、肉脯,U077,臺北市文山區木柵市場,TPWS,nwcuxsx5947
U077005,聰明水果行,2938-1166,新鮮水果,U077,臺北市文山區木柵市場,TPWS,zraucap8243
U078001,上味香魚丸,02-2765-5745,手工魚丸、手工貢丸、火鍋料,U078,臺北市信義區永春市場,TPXY,xwcafjn272
U078002,白金山貢丸,2769-5121,貢丸、香菇丸、旗魚丸、牛肉丸等各式丸類。,U078,臺北市信義區永春市場,TPXY,osqcbjk2986
U078003,春和油飯,0952-710-102,專賣傳統碗粿、米粿、紅龜粿、發糕,U078,臺北市信義區永春市場,TPXY,cjhmwnb6689
U080001,49蔬菜攤,0958-928-265,新鮮蔬菜,U080,臺北市信義區光復市場,TPXY,mriqbxk981
U080002,一元行手工水餃,02-2758-4004、0933-205-004,高麗菜水餃、葫瓜水餃、香菜水餃,U080,臺北市信義區光復市場,TPXY,hiowlym3613
U080003,易美水果舖,0937-163-396,當季水果,U080,臺北市信義區光復市場,TPXY,ivmcjvo3613
